OBJECTID,Shape,NIB,IdBidang,ls_asal,status_per,kelompok_perubahan,PREDICTED,KECAMATAN,KELURAHAN,TIPEHAK,NIB_1,lb_dpn,letak,s_letak,zonasi,s_zonasi,kls_jln,s_kls_jln,IdBidang_1,ls_tnh,elvasi,s_elvasi,lb_jln,jk_atrs,jk_kolp,jk_kols,CBD,jk_atrp,Shape_Le_1,Shape_Le_2,PREDICTED_1,Shape_Le_3,Shape_Length,Shape_Area,bentuk,s_bentuk
31,"(96446.8182527781, 755925.403290502)",503,31,57.45585925439113,tetap,,1393022.38128,Pekalipan,Pulasaren,Hak Milik,00503,4.69617522833,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6770,57.45585925439113,Sama,2.0,1.61,1563.85070506,1790.05329286,2031.3378089,646.4145334,1766.85840431,23.6429025671,23.6429025685,1393022.38128,30.4142580101,30.414258010103552,57.45585925439113,,
32,"(96857.45045288574, 756239.7929093621)",707,32,67.62266644346269,tetap,,1305104.20115,Pekalipan,Pulasaren,Hak Milik,00707,5.4186789098,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7054,67.62266644346269,Sama,2.0,0.5,895.160411918,2166.59210085,2655.18587694,511.85060005,2214.66306822,37.680028972,37.6800289735,1305104.20115,38.3077212447,38.3077212447439,67.62266644346269,,
33,"(96500.76082260926, 756141.045812946)",530,33,150.34617270852405,tetap,,1584457.88036,Pekalipan,Pulasaren,Hak Milik,00530,5.8002489299,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7538,150.34617270852405,Sama,2.0,1.835479,1242.70832575,1810.5931237,2241.3127538,179.325097534,2099.430884,42.6162788943,42.6162788954,1584457.88036,49.3520242326,49.352024232646784,150.34617270852405,,
34,"(96372.30158590565, 755814.1347931997)",276,34,76.5960122300473,tetap,,5116223.73598,Pekalipan,Pulasaren,Hak Milik,00276,7.60379590747,Tusuk Sate,2.0,Perumahan Mewah,4.0,Lokal Setapak,1.0,6690,76.5960122300473,Sama,2.0,1.52,1588.45245199,1603.60475429,1844.88927033,671.015309345,1580.40395872,47.2238112573,47.2238112537,5116223.73598,36.5876874873,36.58768748732895,76.5960122300473,,
35,"(96594.85567821674, 756335.5178344146)",736,35,164.37005203433336,tetap,,1378843.07624,Pekalipan,Pulasaren,Hak Milik,00736,11.1600235138,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6998,164.37005203433336,Sama,2.0,1.31,1045.66253092,1822.46430897,2253.18393907,159.541480011,2277.86078472,53.4817499469,53.4817499439,1378843.07624,52.3547814537,52.35478145373392,164.37005203433336,,
36,"(96805.47293868924, 756246.2091183165)",60,36,123.67098491711197,tetap,,1454224.24922,Pekalipan,Pulasaren,Hak Milik,00060,4.57940393795,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6992,123.67098491711197,Sama,2.0,1.835479,963.678096369,2189.7380012,2620.4576313,477.122354408,2249.26930191,46.0524268184,46.0524268181,1454224.24922,46.1893036865,46.18930368647659,123.67098491711197,,
37,"(96377.8299368901, 755815.470944918)",289,37,54.43193531422744,tetap,,5123553.68108,Pekalipan,Pulasaren,Hak Milik,00289,4.19191279156,Normal,3.0,Perumahan Mewah,4.0,Lokal Setapak,1.0,7340,54.43193531422744,Sama,2.0,1.52,1583.66323782,1608.41610627,1849.7006223,666.226312463,1585.21543343,27.414994852,27.4149948485,5123553.68108,32.3060776511,32.30607765109055,54.43193531422744,,
38,"(96318.71816669597, 756077.0600907153)",828,38,102.3693655789441,tetap,,1549748.17636,Pekalipan,Pulasaren,Hak Milik,00828,11.5717625862,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7553,102.3693655789441,Sama,2.0,2.0,1786.16156504,1620.36658967,2051.08621977,509.686938544,1890.91274246,41.4347396731,41.4347396768,1549748.17636,40.7208713722,40.72087137222788,102.3693655789441,,
39,"(96530.68652974462, 756134.042575759)",954,39,80.2827167067173,tetap,,1754760.37357,Pekalipan,Pulasaren,Hak Milik,00954,15.951224618,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7775,80.2827167067173,Sama,2.0,1.835479,1214.85863935,1834.51327839,2265.23290849,151.476249999,2073.60254609,43.2964701739,43.2964701732,1754760.37357,42.9618148627,42.96181486274035,80.2827167067173,,
40,"(96767.86201744468, 756203.1451102074)",64,40,212.35091332281075,tetap,,1489458.83758,Pekalipan,Pulasaren,Hak Milik,00064,4.47596168147,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6715,212.35091332281075,Sama,2.0,1.835479,1005.60838196,2160.82800352,2556.76261557,404.479740355,2176.62503806,58.3818820859,58.3818820902,1489458.83758,59.6949532428,59.69495324282158,212.35091332281075,,
41,"(96601.96231326419, 756326.5928361521)",1153,41,64.2765270491631,tetap,,1419562.97297,Pekalipan,Pulasaren,Hak Milik,01153,8.26193974312,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6717,64.2765270491631,Sama,2.0,1.31,1061.11070943,1837.91217983,2268.63180993,153.886051361,2272.20498263,36.340371776,36.3403717801,1419562.97297,34.2068675022,34.206867502216056,64.2765270491631,,
42,"(96804.57618518375, 756326.3805674237)",699,42,137.64142231696448,tetap,,1066387.78582,Pekalipan,Pulasaren,Hak Milik,00699,9.3796756986,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6952,137.64142231696448,Sama,2.0,3.66,881.378741233,2121.05126375,2645.82663684,561.471611611,2339.15152046,48.59274541,48.5927454099,1066387.78582,48.728080975,48.72808097498892,137.64142231696448,,
43,"(96277.79412486825, 756243.1970288875)",449,43,91.56597013337306,tetap,,1306917.66388,Pekalipan,Pulasaren,Hak Milik,00449,7.2176063396,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6831,91.56597013337306,Sama,2.0,1.835478594,1428.21457777,1515.16547111,1945.88510121,404.485819983,2248.92894735,33.860611063,33.8606110631,1306917.66388,41.0645958856,41.06459588564838,91.56597013337306,,
44,"(96476.24945775671, 756317.1945227679)",726,44,104.93419618431997,tetap,,2211275.1348,Pekalipan,Pulasaren,Hak Milik,00726,8.04868686939,Normal,3.0,Perumahan Sederhana,2.0,Lokal Primer,3.0,7035,104.93419618431997,Sama,2.0,12.785432656,1151.79887094,1760.15950748,2190.87913758,248.54015131,2250.50739019,43.5077464876,43.507746489,2211275.1348,42.8571579989,42.8571579988811,104.93419618431997,,
45,"(96381.66751838636, 756266.336821451)",781,45,132.2904887523939,tetap,,3710446.7594,Pekalipan,Pulasaren,Hak Milik,00781,8.10555576415,Hook,4.0,Perumahan Menengah,3.0,Lokal Setapak,1.0,7277,132.2904887523939,Sama,2.0,1.835479,1289.97640182,1636.89255166,2067.61218176,318.832652599,2267.00904508,49.1538352952,49.1538352951,3710446.7594,47.939242627,47.93924262702015,132.2904887523939,,
46,"(96672.62221867409, 756218.7438221138)",62,46,806.9544761100794,tetap,,1603594.45906,Pekalipan,Pulasaren,Hak Milik,00062,16.3551232442,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6898,806.9544761100794,Sama,2.0,1.835479,1236.93972106,1981.45808617,2412.17771628,60.1524087102,2178.46825435,129.204616015,129.204616017,1603594.45906,128.936109033,128.93610903263317,806.9544761100794,,
47,"(96814.55091728811, 756306.8836865935)",85,47,120.46637056858516,tetap,,1288127.71904,Pekalipan,Pulasaren,Hak Milik,00085,12.9777493584,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6627,120.46637056858516,Sama,2.0,3.66,1348.83548682,1541.72930596,1972.44893606,431.049654828,2275.493684,44.998700324,44.9987003246,1288127.71904,44.6793966707,44.67939667065601,120.46637056858516,,
48,"(96944.60379582117, 756316.2762252023)",610,48,869.1598785152789,tetap,,1630064.7552,Pekalipan,Pulasaren,Hak Milik,00610,3.96024170171,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6859,869.1598785152789,Sama,2.0,1.835479,892.829734052,2132.50264254,2657.27801562,572.922990392,2296.03586703,152.415059413,152.41505941,1630064.7552,144.858812131,144.85881213126075,869.1598785152789,,
49,"(96539.20740594169, 756097.3049189486)",205,49,143.21351986090667,tetap,,1462487.03621,Pekalipan,Pulasaren,Hak Milik,00205,12.950263061,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7161,143.21351986090667,Sama,2.0,1.835479,1176.03709831,1870.43567691,2301.15530701,198.145751826,2034.78100504,49.9040545445,49.9040545444,1462487.03621,48.1168896734,48.116889673373905,143.21351986090667,,
50,"(96928.05350959796, 756287.5952450592)",280,50,142.55955349750064,tetap,,1622429.62795,Pekalipan,Pulasaren,Hak Milik,00280,9.99562209616,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7136,142.55955349750064,Sama,2.0,1.835479,873.566668968,2125.06177897,2649.83715205,565.482126822,2256.23157678,48.5563582087,48.556358204,1622429.62795,48.5569954031,48.55699540306608,142.55955349750064,,
51,"(96371.92363859655, 755850.2170184731)",847,51,31.872320567392677,tetap,,1374343.45618,Pekalipan,Pulasaren,Hak Milik,00847,3.70694281066,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7424,31.872320567392677,Sama,2.0,1.52,1710.28214967,1712.34977233,1983.45166786,601.670121199,1718.9710983,24.7566888069,24.7566888085,1374343.45618,26.0405536179,26.04055361793263,31.872320567392677,,
